Time,gas_type,Gas concentration (ppb)
"Jan 3, 2020, 3 PM",TOL,0.0013472562617001433
"Jan 3, 2020, 3 PM",OXY,0.0006096527358749881
"Jan 3, 2020, 3 PM",PMXY,0.0003946719492281166
"Jan 3, 2020, 3 PM",ETHB,0.0010597492946544662
"Jan 3, 2020, 4 PM",OXY,0.0020202132266907333
"Jan 3, 2020, 4 PM",PMXY,0.00039949721152273315
"Jan 3, 2020, 4 PM",ETHB,0.0019958315048522004
"Jan 3, 2020, 4 PM",TOL,0.0013487753361308326
"Jan 3, 2020, 5 PM",OXY,0.0011063066291778039
"Jan 3, 2020, 5 PM",PMXY,0.00025131209865018417
"Jan 3, 2020, 5 PM",ETHB,0.0013220055407145992
"Jan 3, 2020, 5 PM",TOL,0.001407257019309327
"Jan 3, 2020, 6 PM",PMXY,0.0003891683224234536
"Jan 3, 2020, 6 PM",ETHB,0.0016283076353526364
"Jan 3, 2020, 6 PM",TOL,0.0011924472006891544
"Jan 3, 2020, 6 PM",OXY,0.0006952794768343059
"Jan 3, 2020, 7 PM",ETHB,0.0020858780432414883
"Jan 3, 2020, 7 PM",PMXY,0.00042137941394078854
"Jan 3, 2020, 7 PM",TOL,0.0011053209212453414
"Jan 3, 2020, 7 PM",OXY,0.0008941939546881864
"Jan 3, 2020, 8 PM",ETHB,0.0012591056171610642
"Jan 3, 2020, 8 PM",PMXY,0.0003415456606793062
"Jan 3, 2020, 8 PM",OXY,0.0012813445306771125
"Jan 3, 2020, 8 PM",TOL,0.0017055675270967185
"Jan 3, 2020, 9 PM",PMXY,0.0004276627053817113
"Jan 3, 2020, 9 PM",ETHB,0.0014482652816999082
"Jan 3, 2020, 9 PM",TOL,0.0013105819622675579
"Jan 3, 2020, 9 PM",OXY,0.0006429884476043904
"Jan 3, 2020, 10 PM",PMXY,0.0006482973743307715
"Jan 3, 2020, 10 PM",ETHB,0.002047775158037742
"Jan 3, 2020, 10 PM",OXY,0.0012153067873441614
"Jan 3, 2020, 10 PM",TOL,0.0009344525072568407
"Jan 3, 2020, 11 PM",PMXY,0.00035961016389289097
"Jan 3, 2020, 11 PM",ETHB,0.0011856574468159427
"Jan 3, 2020, 11 PM",OXY,0.0009069285564085779
"Jan 3, 2020, 11 PM",TOL,0.0022409841185435653
"Jan 4, 2020, 12 AM",TOL,0.0014712520545193304
"Jan 4, 2020, 12 AM",ETHB,0.0015739718122252573
"Jan 4, 2020, 12 AM",PMXY,0.0002462507097031145
"Jan 4, 2020, 12 AM",OXY,0.00048421581838435185
"Jan 4, 2020, 1 AM",PMXY,0.00035432554553456913
"Jan 4, 2020, 1 AM",ETHB,0.0016026045680822183
"Jan 4, 2020, 1 AM",TOL,0.0012783907465442705
"Jan 4, 2020, 1 AM",OXY,0.0008743163683296492
"Jan 4, 2020, 2 AM",ETHB,0.001694568793027429
"Jan 4, 2020, 2 AM",PMXY,0.0005252475045078123
"Jan 4, 2020, 2 AM",TOL,0.00135151019882566
"Jan 4, 2020, 2 AM",OXY,0.0009413301158929244
"Jan 4, 2020, 3 AM",ETHB,0.0018487138925896336
"Jan 4, 2020, 3 AM",PMXY,0.0003084548782984105
"Jan 4, 2020, 3 AM",OXY,0.0018857311382210658
"Jan 4, 2020, 3 AM",TOL,0.001132096867271078
"Jan 4, 2020, 4 AM",ETHB,0.0018110055326750235
"Jan 4, 2020, 4 AM",OXY,0.0009840309420334442
"Jan 4, 2020, 4 AM",PMXY,0.00030522607110989545
"Jan 4, 2020, 4 AM",TOL,0.0013182169350329787
"Jan 4, 2020, 5 AM",ETHB,0.0010111461548755567
"Jan 4, 2020, 5 AM",OXY,0.0005371446168283001
"Jan 4, 2020, 5 AM",PMXY,0.00031709890026832
"Jan 4, 2020, 5 AM",TOL,0.0013373205244230728
"Jan 4, 2020, 6 AM",ETHB,0.0015064920153236017
"Jan 4, 2020, 6 AM",OXY,0.001036017694180676
"Jan 4, 2020, 6 AM",PMXY,0.0002587162792527427
"Jan 4, 2020, 6 AM",TOL,0.0009311549074482173
"Jan 4, 2020, 7 AM",TOL,0.0012920309382025152
"Jan 4, 2020, 7 AM",ETHB,0.0013092816807329655
"Jan 4, 2020, 7 AM",PMXY,0.0003390896284448293
"Jan 4, 2020, 7 AM",OXY,0.0005348842848131122
"Jan 4, 2020, 8 AM",PMXY,0.0003170958225382492
"Jan 4, 2020, 8 AM",ETHB,0.0020111835134836533
"Jan 4, 2020, 8 AM",OXY,0.001024278538049354
"Jan 4, 2020, 8 AM",TOL,0.0012634531303774565
"Jan 4, 2020, 9 AM",OXY,0.0009712495326918239
"Jan 4, 2020, 9 AM",TOL,0.0011190939403604716
"Jan 4, 2020, 9 AM",PMXY,0.0004117130010854453
"Jan 4, 2020, 9 AM",ETHB,0.0017700604318330686
"Jan 4, 2020, 10 AM",OXY,0.001359608742253234
"Jan 4, 2020, 10 AM",TOL,0.0011939834124253441
"Jan 4, 2020, 10 AM",PMXY,0.00037594798535186175
"Jan 4, 2020, 10 AM",ETHB,0.0013803060185940315
"Jan 4, 2020, 11 AM",OXY,0.0016297070445337643
"Jan 4, 2020, 11 AM",PMXY,0.00023853086774276258
"Jan 4, 2020, 11 AM",TOL,0.0014171686974198867
"Jan 4, 2020, 11 AM",ETHB,0.001166126627746659
"Jan 4, 2020, 12 PM",OXY,0.0010789185131822403
"Jan 4, 2020, 12 PM",PMXY,0.0003946655730639274
"Jan 4, 2020, 12 PM",TOL,0.0015678699613393594
"Jan 4, 2020, 12 PM",ETHB,0.0012117413037534182
"Jan 4, 2020, 1 PM",OXY,0.0007296015343551213
"Jan 4, 2020, 1 PM",PMXY,0.00030884183797752485
"Jan 4, 2020, 1 PM",TOL,0.0010199643632707496
"Jan 4, 2020, 1 PM",ETHB,0.0008470755953264112
"Jan 4, 2020, 2 PM",ETHB,0.0010700214964648087
"Jan 4, 2020, 2 PM",TOL,0.0012731572496704757
"Jan 4, 2020, 2 PM",OXY,0.0005458347489669298
"Jan 4, 2020, 2 PM",PMXY,0.0004325109548517503
"Jan 4, 2020, 3 PM",ETHB,0.0017247026577630702
"Jan 4, 2020, 3 PM",TOL,0.0013824943841124575
"Jan 4, 2020, 3 PM",OXY,0.0016834834702118922
"Jan 4, 2020, 3 PM",PMXY,0.00020692716740692654
"Jan 4, 2020, 4 PM",ETHB,0.0012628210048812132
"Jan 4, 2020, 4 PM",OXY,0.0006795999555227658
"Jan 4, 2020, 4 PM",PMXY,0.0004268227154777075
"Jan 4, 2020, 4 PM",BENZ,0.0032551095355302095
"Jan 4, 2020, 4 PM",TOL,0.0010814422857947648
"Jan 4, 2020, 5 PM",ETHB,0.0008566708586710904
"Jan 4, 2020, 5 PM",PMXY,0.0005422029415577916
"Jan 4, 2020, 5 PM",TOL,0.0013243972706342383
"Jan 4, 2020, 5 PM",OXY,0.0006236738990992308
"Jan 4, 2020, 6 PM",TOL,0.0010841189165754865
"Jan 4, 2020, 6 PM",PMXY,0.0002752854452410247
"Jan 4, 2020, 6 PM",ETHB,0.0015973579478062068
"Jan 4, 2020, 6 PM",OXY,0.00208362506236881
"Jan 4, 2020, 7 PM",TOL,0.0012646377532898139
"Jan 4, 2020, 7 PM",PMXY,0.000519121184576458
"Jan 4, 2020, 7 PM",OXY,0.0010244935207689803
"Jan 4, 2020, 7 PM",ETHB,0.0013398173808430631
"Jan 4, 2020, 8 PM",PMXY,0.0002248891735992705
"Jan 4, 2020, 8 PM",TOL,0.0007645967173933362
"Jan 4, 2020, 8 PM",OXY,0.0014603920547718492
"Jan 4, 2020, 8 PM",ETHB,0.0017712829091275732
"Jan 4, 2020, 9 PM",ETHB,0.0023488646159724644
"Jan 4, 2020, 9 PM",OXY,0.0016721294947880476
"Jan 4, 2020, 9 PM",BENZ,0.009266701526939869
"Jan 4, 2020, 9 PM",PMXY,0.0003189448592214224
"Jan 4, 2020, 9 PM",TOL,0.0010473225702298805
"Jan 4, 2020, 10 PM",ETHB,0.001824932376621291
"Jan 4, 2020, 10 PM",OXY,0.001042153521363313
"Jan 4, 2020, 10 PM",PMXY,0.0005278169677088348
"Jan 4, 2020, 10 PM",TOL,0.0012539270101115108
"Jan 4, 2020, 11 PM",ETHB,0.0017455576336942614
"Jan 4, 2020, 11 PM",OXY,0.0008613447076641023
"Jan 4, 2020, 11 PM",PMXY,0.00037563950463663786
"Jan 4, 2020, 11 PM",TOL,0.001524962577968836
"Jan 5, 2020, 12 AM",ETHB,0.0010377407500830789
"Jan 5, 2020, 12 AM",TOL,0.0016239499576234568
"Jan 5, 2020, 12 AM",PMXY,0.00037067079635259387
"Jan 5, 2020, 12 AM",OXY,0.0008773208877149349
"Jan 5, 2020, 1 AM",TOL,0.0023943185612248876
"Jan 5, 2020, 1 AM",ETHB,0.0013757866981904954
"Jan 5, 2020, 1 AM",PMXY,0.00032391330144794966
"Jan 5, 2020, 1 AM",OXY,0.001105956839940821
"Jan 5, 2020, 2 AM",TOL,0.0008932076598284766
"Jan 5, 2020, 2 AM",ETHB,0.002242511705844663
"Jan 5, 2020, 2 AM",PMXY,0.00011996206133820427
"Jan 5, 2020, 2 AM",OXY,0.0009841423598118126
"Jan 5, 2020, 3 AM",TOL,0.0009209088942346474
"Jan 5, 2020, 3 AM",PMXY,0.00023094253447197843
"Jan 5, 2020, 3 AM",ETHB,0.001105742000315028
"Jan 5, 2020, 3 AM",OXY,0.0005574770742290033
"Jan 5, 2020, 4 AM",ETHB,0.0012571237651476015
"Jan 5, 2020, 4 AM",TOL,0.0007899595463337997
"Jan 5, 2020, 4 AM",PMXY,0.00024598834473484504
"Jan 5, 2020, 4 AM",OXY,0.0007214742994013553
"Jan 5, 2020, 5 AM",ETHB,0.001382039316619436
"Jan 5, 2020, 5 AM",TOL,0.000978055414937747
"Jan 5, 2020, 5 AM",PMXY,0.0003550770209888772
"Jan 5, 2020, 5 AM",OXY,0.0017479506835419063
"Jan 5, 2020, 6 AM",BENZ,0.010678115300834179
"Jan 5, 2020, 6 AM",TOL,0.0011025084580372397
"Jan 5, 2020, 6 AM",ETHB,0.0017491035008182128
"Jan 5, 2020, 6 AM",PMXY,0.00024241201754193753
"Jan 5, 2020, 6 AM",OXY,0.0010592355635405208
"Jan 5, 2020, 7 AM",ETHB,0.0017741772074562807
"Jan 5, 2020, 7 AM",OXY,0.0011179752930599665
"Jan 5, 2020, 7 AM",PMXY,0.0002213833925322563
"Jan 5, 2020, 7 AM",TOL,0.001087862000401531
"Jan 5, 2020, 8 AM",ETHB,0.0013974445222023253
"Jan 5, 2020, 8 AM",OXY,0.0010712784278439358
"Jan 5, 2020, 8 AM",PMXY,0.0003253166238816145
"Jan 5, 2020, 8 AM",TOL,0.0017362705645306657
"Jan 5, 2020, 9 AM",ETHB,0.0008449638747454932
"Jan 5, 2020, 9 AM",OXY,0.0010559114549929898
"Jan 5, 2020, 9 AM",PMXY,0.0003905352386937011
"Jan 5, 2020, 9 AM",TOL,0.0012342220385714124
"Jan 5, 2020, 10 AM",ETHB,0.0008595400383152688
"Jan 5, 2020, 10 AM",OXY,0.0010973975416466903
"Jan 5, 2020, 10 AM",PMXY,0.0002250094372963455
"Jan 5, 2020, 10 AM",TOL,0.0012367789458949119
"Jan 5, 2020, 10 AM",BENZ,0.008924589492380619
"Jan 5, 2020, 11 AM",OXY,0.0016189711507953082
"Jan 5, 2020, 11 AM",PMXY,0.0003405688221391756
"Jan 5, 2020, 11 AM",TOL,0.0018989645856587838
"Jan 5, 2020, 11 AM",ETHB,0.0026604002729679146
"Jan 5, 2020, 12 PM",OXY,0.0008884584264402898
