datetime-dronetest,T-VOC concentration (ppb)
"Jan 21, 2020, 5 AM",144.68688852374342
"Jan 21, 2020, 6 AM",164.74294440725933
"Jan 21, 2020, 7 AM",158.954631206918
"Jan 21, 2020, 8 AM",146.24464583708095
"Jan 21, 2020, 9 AM",95.64335768238722
"Jan 21, 2020, 10 AM",67.65370126668051
"Jan 21, 2020, 11 AM",65.34685438609803
"Jan 21, 2020, 12 PM",63.63632425908901
"Jan 21, 2020, 1 PM",55.226448310494796
"Jan 21, 2020, 2 PM",55.321155350434864
"Jan 21, 2020, 3 PM",61.76042050447794
"Jan 21, 2020, 4 PM",76.84266938377571
"Jan 21, 2020, 5 PM",99.4272773830284
"Jan 21, 2020, 6 PM",109.59245259826912
"Jan 21, 2020, 7 PM",118.87254444743675
"Jan 21, 2020, 8 PM",126.92222825959772
"Jan 21, 2020, 9 PM",134.21199557578663
"Jan 21, 2020, 10 PM",135.2965674271793
"Jan 21, 2020, 11 PM",137.48825713772754
"Jan 22, 2020, 12 AM",139.352070947359
"Jan 22, 2020, 1 AM",134.1865720781896
"Jan 22, 2020, 2 AM",146.85690485930513
"Jan 22, 2020, 3 AM",141.68307226828657
"Jan 22, 2020, 4 AM",161.35937570275854
"Jan 22, 2020, 5 AM",157.7249449888485
"Jan 22, 2020, 6 AM",167.02115653751315
"Jan 22, 2020, 7 AM",166.278432673732
"Jan 22, 2020, 8 AM",168.57722721407282
"Jan 22, 2020, 9 AM",175.2719065988234
"Jan 22, 2020, 10 AM",181.7432508224412
"Jan 22, 2020, 11 AM",181.54883108593424
"Jan 22, 2020, 12 PM",188.04808705534379
"Jan 22, 2020, 1 PM",192.56856482545578
"Jan 22, 2020, 2 PM",197.10959131840306
"Jan 22, 2020, 3 PM",196.1097174595718
"Jan 22, 2020, 4 PM",198.41977149647946
"Jan 22, 2020, 5 PM",192.68292681902028
"Jan 22, 2020, 6 PM",187.9811152389199
"Jan 22, 2020, 7 PM",192.14602342762305
"Jan 22, 2020, 8 PM",197.11726867514804
"Jan 22, 2020, 9 PM",204.4242324497636
"Jan 22, 2020, 10 PM",207.2688389425223
"Jan 22, 2020, 11 PM",210.90996086874537
"Jan 23, 2020, 12 AM",216.23323200098
"Jan 23, 2020, 1 AM",218.74886898238765
"Jan 23, 2020, 2 AM",227.13923561827127
"Jan 23, 2020, 3 AM",234.65968290108606
"Jan 23, 2020, 4 AM",225.0351756903639
"Jan 23, 2020, 5 AM",215.37747162796148
"Jan 23, 2020, 6 AM",213.89390099239435
"Jan 23, 2020, 7 AM",198.73700259913204
"Jan 23, 2020, 8 AM",197.9760396914561
"Jan 23, 2020, 9 AM",190.9150818847992
"Jan 23, 2020, 10 AM",187.2489261704572
"Jan 23, 2020, 11 AM",169.33688609121933
"Jan 23, 2020, 12 PM",157.24579071464152
"Jan 23, 2020, 1 PM",153.6423700592907
"Jan 23, 2020, 2 PM",150.54716460676988
"Jan 23, 2020, 3 PM",143.70124386079002
"Jan 23, 2020, 4 PM",141.39583005439582
"Jan 23, 2020, 5 PM",139.88538311804425
"Jan 23, 2020, 6 PM",143.73597873465926
"Jan 23, 2020, 7 PM",148.38315950962323
"Jan 23, 2020, 8 PM",147.81465250759223
"Jan 23, 2020, 9 PM",153.55505595269187
"Jan 23, 2020, 10 PM",156.93194280973853
"Jan 23, 2020, 11 PM",160.05921803406136
"Jan 24, 2020, 12 AM",161.85463822097407
"Jan 24, 2020, 1 AM",163.62755468360712
"Jan 24, 2020, 2 AM",164.30630152701036
"Jan 24, 2020, 3 AM",164.5285216198226
"Jan 24, 2020, 4 AM",166.3293563283558
